code,date,floor,close,nmVolume,nmValue,change,pctChange
TCB,2021-09-22,HOSE,50.5,4960100.0,249183365000.0,0.1,0.1984
TCB,2021-09-21,HOSE,50.4,10058100.0,505964890000.0,-0.3,-0.5917
TCB,2021-09-20,HOSE,50.7,13074700.0,666827770000.0,0.95,1.9095
TCB,2021-09-17,HOSE,49.75,8274500.0,410387960000.0,0.65,1.3238
TCB,2021-09-16,HOSE,49.1,5523500.0,270249820000.0,0.7,1.4463
TCB,2021-09-15,HOSE,48.4,5037600.0,244280605000.0,-0.1,-0.2062
TCB,2021-09-14,HOSE,48.5,6142500.0,299732130000.0,-0.45,-0.9193
TCB,2021-09-13,HOSE,48.95,6802200.0,334323485000.0,-0.35,-0.7099
TCB,2021-09-10,HOSE,49.3,7222000.0,356624565000.0,0.0,0.0
TCB,2021-09-09,HOSE,49.3,7854400.0,383855665000.0,0.5,1.0246
TCB,2021-09-08,HOSE,48.8,7150900.0,351958545000.0,-0.85,-1.712
TCB,2021-09-07,HOSE,49.65,11611100.0,576608095000.0,0.7,1.43
TCB,2021-09-06,HOSE,48.95,12880500.0,622875955000.0,0.65,1.3458
TCB,2021-09-01,HOSE,48.3,8530000.0,412907950000.0,-0.2,-0.4124
TCB,2021-08-31,HOSE,48.5,7773900.0,380362505000.0,-0.7,-1.4228
TCB,2021-08-30,HOSE,49.2,12298900.0,597900215000.0,1.15,2.3933
TCB,2021-08-27,HOSE,48.05,19689500.0,935881850000.0,-0.25,-0.5176
TCB,2021-08-26,HOSE,48.3,10111900.0,493395610000.0,-0.85,-1.7294
TCB,2021-08-25,HOSE,49.15,9431100.0,461897840000.0,0.15,0.3061
TCB,2021-08-24,HOSE,49.0,16213400.0,791188275000.0,0.25,0.5128
TCB,2021-08-23,HOSE,48.75,26003500.0,1286597595000.0,-1.75,-3.4653
TCB,2021-08-20,HOSE,50.5,31461200.0,1619822645000.0,-2.5,-4.717
TCB,2021-08-19,HOSE,53.0,18765300.0,986255700000.0,0.2,0.3788
TCB,2021-08-18,HOSE,52.8,12905800.0,684655780000.0,-0.5,-0.9381
TCB,2021-08-17,HOSE,53.3,16002700.0,860409430000.0,-0.7,-1.2963
TCB,2021-08-16,HOSE,54.0,30299500.0,1611070480000.0,1.8,3.4483
TCB,2021-08-13,HOSE,52.2,15402000.0,796356270000.0,0.2,0.3846
TCB,2021-08-12,HOSE,52.0,11779000.0,617266770000.0,-0.3,-0.5736
TCB,2021-08-11,HOSE,52.3,20471000.0,1078719510000.0,0.0,0.0
